rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1688213400,1.302e+01,6.501e+00,3.518e-01,1.757e-01
1688214000,1.757e+01,3.000e+00,4.749e-01,8.109e-02
1688214600,1.525e+01,1.400e+01,4.121e-01,3.784e-01
1688215200,2.941e+01,1.000e+00,7.948e-01,2.705e-02
1688215800,1.517e+01,1.000e+01,4.100e-01,2.703e-01
1688216400,1.000e+00,5.001e+00,2.705e-02,1.352e-01
1688217000,1.528e+01,4.501e+00,4.129e-01,1.216e-01
1688217600,1.067e+01,8.001e+00,2.883e-01,2.162e-01
1688218200,1.473e+01,1.000e+00,3.981e-01,2.705e-02
1688218800,1.987e+01,3.501e+00,5.369e-01,9.461e-02
1688219400,1.086e+01,6.501e+00,2.935e-01,1.757e-01
1688220000,1.531e+01,1.300e+01,4.139e-01,3.514e-01
1688220600,8.543e+00,1.000e+00,2.309e-01,2.705e-02
1688221200,1.308e+01,1.650e+01,3.535e-01,4.460e-01
1688221800,1.526e+01,1.000e+00,4.124e-01,2.705e-02
1688222400,2.708e+01,1.100e+01,7.318e-01,2.973e-01
1688223000,1.085e+01,1.000e+00,2.933e-01,2.705e-02
1688223600,1.740e+01,8.488e+00,4.703e-01,2.294e-01
1688224200,2.213e+01,3.501e+00,5.981e-01,9.461e-02
1688224800,1.066e+01,1.500e+01,2.880e-01,4.055e-01
1688225400,1.305e+01,1.000e+00,3.526e-01,2.705e-02
1688226000,1.086e+01,5.501e+00,2.935e-01,1.487e-01
1688226600,1.963e+01,8.001e+00,5.305e-01,2.162e-01
1688227200,1.754e+01,4.501e+00,4.740e-01,1.216e-01
1688227800,6.277e+00,3.501e+00,1.696e-01,9.461e-02
1688228400,1.993e+01,7.501e+00,5.388e-01,2.027e-01
1688229000,2.681e+01,8.001e+00,7.247e-01,2.162e-01
1688229600,1.509e+01,1.000e+00,4.078e-01,2.705e-02
1688230200,1.750e+01,7.501e+00,4.731e-01,2.027e-01
1688230800,3.173e+01,1.000e+00,8.576e-01,2.705e-02
1688231400,1.939e+01,7.001e+00,5.239e-01,1.892e-01
1688232000,1.721e+01,1.150e+01,4.652e-01,3.109e-01
1688232600,1.971e+01,9.501e+00,5.327e-01,2.568e-01
1688233200,1.512e+01,1.000e+00,4.087e-01,2.705e-02
1688233800,6.409e+00,1.350e+01,1.732e-01,3.649e-01
1688234400,1.073e+01,5.001e+00,2.899e-01,1.352e-01
1688235000,1.749e+01,6.001e+00,4.727e-01,1.622e-01
1688235600,2.457e+01,4.501e+00,6.641e-01,1.216e-01
1688236200,2.195e+01,3.501e+00,5.932e-01,9.461e-02
1688236800,2.905e+01,2.500e+00,7.852e-01,6.758e-02
1688237400,1.291e+01,1.150e+01,3.490e-01,3.109e-01
1688238000,2.435e+01,3.501e+00,6.582e-01,9.461e-02
1688238600,6.277e+00,8.001e+00,1.696e-01,2.162e-01
1688239200,2.213e+01,2.496e+00,5.982e-01,6.746e-02
1688239800,3.176e+01,1.000e+00,8.585e-01,2.705e-02
1688240400,1.290e+01,8.001e+00,3.488e-01,2.162e-01
1688241000,1.078e+01,2.000e+00,2.913e-01,2.705e-02
1688241600,1.729e+01,8.001e+00,4.672e-01,2.162e-01
1688242200,8.609e+00,1.000e+01,2.327e-01,2.703e-01
1688242800,6.277e+00,1.000e+00,1.697e-01,2.705e-02
1688243400,1.993e+01,8.001e+00,5.386e-01,2.162e-01
1688244000,1.086e+01,1.000e+00,2.934e-01,2.705e-02
1688244600,1.000e+00,7.001e+00,2.705e-02,1.892e-01
1688245200,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688245800,2.489e+01,1.400e+01,6.727e-01,3.784e-01
1688246400,1.202e+01,1.000e+00,3.248e-01,2.705e-02
1688247000,3.480e+01,6.001e+00,9.405e-01,1.622e-01
1688247600,1.522e+01,2.000e+00,4.114e-01,2.705e-02
1688248200,8.675e+00,9.001e+00,2.345e-01,2.433e-01
1688248800,8.609e+00,4.501e+00,2.327e-01,1.216e-01
1688249400,4.275e+00,3.501e+00,1.155e-01,9.461e-02
1688250000,6.409e+00,2.500e+00,1.732e-01,6.758e-02
1688250600,1.304e+01,5.501e+00,3.524e-01,1.487e-01
1688251200,2.475e+01,2.000e+00,6.690e-01,2.705e-02
1688251800,6.475e+00,1.150e+01,1.750e-01,3.109e-01
1688252400,1.535e+01,1.000e+00,4.149e-01,2.705e-02
1688253000,2.075e+00,1.000e+00,5.607e-02,2.705e-02
1688253600,2.009e+00,1.250e+01,5.429e-02,3.379e-01
1688254200,1.307e+01,8.001e+00,3.531e-01,2.162e-01
1688254800,8.661e+00,1.000e+00,2.341e-01,2.705e-02
1688255400,1.533e+01,8.501e+00,4.144e-01,2.298e-01
1688256000,1.537e+01,1.150e+01,4.154e-01,3.109e-01
1688256600,1.309e+01,1.000e+00,3.538e-01,2.705e-02
1688257200,6.475e+00,2.000e+00,1.750e-01,2.705e-02
1688257800,1.763e+01,3.000e+00,4.764e-01,8.109e-02
1688258400,4.209e+00,1.000e+00,1.137e-01,2.705e-02
1688259000,8.609e+00,8.001e+00,2.327e-01,2.162e-01
1688259600,2.075e+00,3.501e+00,5.607e-02,9.461e-02
1688260200,4.827e+00,1.000e+00,1.305e-01,2.705e-02
1688260800,2.009e+01,9.001e+00,5.430e-01,2.433e-01
1688261400,1.538e+01,1.000e+00,4.156e-01,2.705e-02
1688262000,8.543e+00,2.000e+00,2.309e-01,2.705e-02
1688262600,1.538e+01,1.000e+00,4.158e-01,2.705e-02
1688263200,1.081e+01,5.001e+00,2.920e-01,1.352e-01
1688263800,6.475e+00,5.501e+00,1.750e-01,1.487e-01
1688264400,2.009e+00,1.000e+00,5.428e-02,2.705e-02
1688265000,4.275e+00,9.001e+00,1.155e-01,2.433e-01
1688265600,1.764e+01,4.001e+00,4.768e-01,1.081e-01
1688266200,1.985e+01,2.500e+00,5.364e-01,6.758e-02
1688266800,1.087e+01,6.501e+00,2.938e-01,1.757e-01
1688267400,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688268000,1.311e+01,9.001e+00,3.544e-01,2.433e-01
1688268600,1.297e+01,1.000e+00,3.505e-01,2.705e-02
1688269200,1.303e+01,4.501e+00,3.522e-01,1.216e-01
1688269800,1.529e+01,1.000e+00,4.132e-01,2.705e-02
1688270400,4.201e+00,1.000e+00,1.136e-01,2.705e-02
1688271000,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688271600,8.609e+00,3.501e+00,2.327e-01,9.461e-02
1688272200,1.088e+01,7.001e+00,2.941e-01,1.892e-01
1688272800,1.771e+01,2.500e+00,4.788e-01,6.758e-02
1688273400,1.081e+01,3.501e+00,2.921e-01,9.461e-02
1688274000,1.081e+01,2.000e+00,2.921e-01,2.705e-02
1688274600,1.087e+01,7.501e+00,2.939e-01,2.027e-01
1688275200,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688275800,6.475e+00,2.500e+00,1.750e-01,6.758e-02
1688276400,2.009e+00,1.000e+00,5.429e-02,2.705e-02
1688277000,6.409e+00,7.501e+00,1.732e-01,2.027e-01
1688277600,8.675e+00,3.501e+00,2.345e-01,9.461e-02
1688278200,8.477e+00,1.000e+00,2.291e-01,2.705e-02
1688278800,1.082e+01,7.501e+00,2.924e-01,2.027e-01
1688279400,1.286e+01,1.000e+00,3.476e-01,2.705e-02
1688280000,1.492e+01,3.000e+00,4.033e-01,8.109e-02
1688280600,1.297e+01,1.000e+00,3.506e-01,2.705e-02
1688281200,1.537e+01,4.501e+00,4.155e-01,1.216e-01
1688281800,2.282e+01,4.001e+00,6.168e-01,1.081e-01
1688282400,2.453e+01,1.000e+00,6.629e-01,2.705e-02
1688283000,6.409e+00,2.500e+00,1.732e-01,6.758e-02
1688283600,1.747e+01,7.501e+00,4.722e-01,2.027e-01
1688284200,1.086e+01,1.000e+00,2.935e-01,2.705e-02
1688284800,6.475e+00,7.001e+00,1.750e-01,1.892e-01
1688285400,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688286000,1.535e+01,2.996e+00,4.148e-01,8.096e-02
1688286600,1.061e+01,8.001e+00,2.866e-01,2.162e-01
1688287200,1.309e+01,2.000e+00,3.539e-01,2.705e-02
1688287800,6.475e+00,6.501e+00,1.750e-01,1.757e-01
1688288400,1.088e+01,1.000e+00,2.939e-01,2.705e-02
1688289000,1.087e+01,8.501e+00,2.939e-01,2.298e-01
1688289600,1.754e+01,3.000e+00,4.741e-01,8.109e-02
1688290200,8.543e+00,8.001e+00,2.309e-01,2.162e-01
1688290800,1.081e+01,4.501e+00,2.921e-01,1.216e-01
1688291400,1.296e+01,4.501e+00,3.504e-01,1.216e-01
1688292000,1.529e+01,1.000e+00,4.132e-01,2.705e-02
1688292600,4.209e+00,1.300e+01,1.137e-01,3.514e-01
1688293200,4.011e+00,1.000e+00,1.084e-01,2.705e-02
1688293800,1.075e+01,1.050e+01,2.905e-01,2.838e-01
1688294400,6.277e+00,1.000e+00,1.696e-01,2.705e-02
1688295000,2.245e+01,8.001e+00,6.068e-01,2.162e-01
1688295600,1.528e+01,1.000e+00,4.129e-01,2.705e-02
1688296200,1.308e+01,5.001e+00,3.536e-01,1.352e-01
1688296800,1.080e+01,9.501e+00,2.920e-01,2.568e-01
1688297400,2.458e+01,5.501e+00,6.643e-01,1.487e-01
1688298000,1.529e+01,6.001e+00,4.131e-01,1.622e-01
1688298600,3.156e+01,1.050e+01,8.529e-01,2.838e-01
1688299200,3.154e+01,1.000e+00,8.525e-01,2.705e-02
1688299800,3.882e+01,4.501e+00,1.049e+00,1.216e-01
1688300400,3.612e+01,1.250e+01,9.762e-01,3.379e-01
1688301000,1.265e+01,4.001e+00,3.420e-01,1.081e-01
1688301600,2.630e+01,6.490e+00,7.109e-01,1.754e-01
1688302200,2.850e+01,1.000e+01,7.704e-01,2.703e-01
1688302800,1.928e+01,2.500e+00,5.210e-01,6.758e-02
1688303400,1.294e+01,1.050e+01,3.498e-01,2.838e-01
1688304000,3.014e+01,9.001e+00,8.146e-01,2.433e-01
1688304600,3.365e+01,4.001e+00,9.095e-01,1.081e-01
1688305200,3.225e+01,6.001e+00,8.716e-01,1.622e-01
1688305800,2.850e+01,1.100e+01,7.703e-01,2.973e-01
1688306400,2.835e+01,1.000e+00,7.661e-01,2.705e-02
1688307000,3.339e+01,7.501e+00,9.025e-01,2.027e-01
1688307600,1.933e+01,1.350e+01,5.224e-01,3.649e-01
1688308200,2.602e+01,8.001e+00,7.033e-01,2.162e-01
1688308800,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688309400,1.726e+01,1.000e+00,4.666e-01,2.705e-02
1688310000,2.182e+01,9.001e+00,5.897e-01,2.433e-01
1688310600,1.727e+01,1.000e+00,4.667e-01,2.705e-02
1688311200,1.737e+01,7.001e+00,4.694e-01,1.892e-01
1688311800,1.291e+01,1.000e+00,3.490e-01,2.705e-02
1688312400,1.695e+01,4.001e+00,4.581e-01,1.081e-01
1688313000,1.972e+01,6.501e+00,5.330e-01,1.757e-01
1688313600,1.964e+01,1.100e+01,5.307e-01,2.973e-01
1688314200,4.209e+00,2.500e+00,1.138e-01,6.758e-02
1688314800,1.527e+01,2.500e+00,4.127e-01,6.758e-02
1688315400,6.409e+00,3.501e+00,1.732e-01,9.461e-02
1688316000,1.086e+01,6.501e+00,2.936e-01,1.757e-01
1688316600,8.609e+00,2.500e+00,2.327e-01,6.758e-02
1688317200,7.083e+00,6.490e+00,1.914e-01,1.754e-01
1688317800,1.303e+01,1.000e+00,3.521e-01,2.705e-02
1688318400,1.067e+01,1.400e+01,2.884e-01,3.784e-01
1688319000,8.345e+00,1.000e+00,2.255e-01,2.705e-02
1688319600,1.081e+01,1.000e+00,2.921e-01,2.705e-02
1688320200,2.003e+01,4.001e+00,5.413e-01,1.081e-01
1688320800,2.688e+01,6.001e+00,7.265e-01,1.622e-01
1688321400,4.143e+00,1.000e+00,1.120e-01,2.705e-02
1688322000,6.343e+00,7.001e+00,1.714e-01,1.892e-01
1688322600,1.081e+01,8.501e+00,2.921e-01,2.298e-01
1688323200,1.310e+01,1.000e+00,3.539e-01,2.705e-02
1688323800,1.087e+01,6.501e+00,2.938e-01,1.757e-01
1688324400,8.675e+00,2.500e+00,2.345e-01,6.758e-02
1688325000,1.768e+01,3.000e+00,4.779e-01,8.109e-02
1688325600,1.763e+01,4.501e+00,4.764e-01,1.216e-01
1688326200,6.475e+00,3.000e+00,1.750e-01,8.109e-02
1688326800,1.074e+01,2.000e+00,2.903e-01,2.705e-02
1688327400,1.766e+01,5.001e+00,4.773e-01,1.352e-01
1688328000,2.075e+00,6.001e+00,5.607e-02,1.622e-01
1688328600,4.275e+00,1.000e+00,1.155e-01,2.705e-02
1688329200,1.075e+01,5.501e+00,2.905e-01,1.487e-01
1688329800,1.490e+01,4.501e+00,4.027e-01,1.216e-01
1688330400,1.087e+01,1.000e+00,2.939e-01,2.705e-02
1688331000,2.009e+00,4.501e+00,5.428e-02,1.216e-01
1688331600,2.075e+00,3.501e+00,5.607e-02,9.461e-02
1688332200,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688332800,4.267e+00,1.000e+00,1.153e-01,2.705e-02
1688333400,8.609e+00,5.501e+00,2.327e-01,1.487e-01
1688334000,1.301e+01,2.500e+00,3.517e-01,6.758e-02
1688334600,9.493e+00,1.000e+00,2.566e-01,2.705e-02
1688335200,6.409e+00,5.001e+00,1.732e-01,1.352e-01
1688335800,6.409e+00,3.000e+00,1.732e-01,8.109e-02
1688336400,1.315e+01,1.000e+00,3.553e-01,2.705e-02
1688337000,4.808e+00,1.000e+00,1.299e-01,2.705e-02
1688337600,6.343e+00,8.001e+00,1.714e-01,2.162e-01
1688338200,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688338800,1.758e+01,1.000e+00,4.752e-01,2.705e-02
1688339400,1.475e+01,3.000e+00,3.986e-01,8.109e-02
1688340000,2.009e+00,1.000e+00,5.429e-02,2.705e-02
1688340600,6.409e+00,7.001e+00,1.732e-01,1.892e-01
1688341200,1.062e+01,2.500e+00,2.870e-01,6.758e-02
1688341800,1.000e+00,1.000e+00,2.705e-02,2.705e-02
1688342400,6.475e+00,4.501e+00,1.750e-01,1.216e-01
1688343000,1.082e+01,2.000e+00,2.926e-01,2.705e-02
1688343600,8.675e+00,4.001e+00,2.345e-01,1.081e-01
1688344200,8.675e+00,3.500e+00,2.345e-01,9.461e-02
1688344800,6.475e+00,4.501e+00,1.750e-01,1.216e-01
1688345400,4.209e+00,1.000e+00,1.138e-01,2.705e-02
1688346000,4.209e+00,3.000e+00,1.138e-01,8.109e-02
1688346600,1.303e+01,2.000e+00,3.521e-01,2.705e-02
1688347200,4.143e+00,3.000e+00,1.120e-01,8.109e-02
1688347800,2.263e+01,5.501e+00,6.116e-01,1.487e-01
1688348400,4.268e+00,1.000e+00,1.153e-01,2.705e-02
1688349000,1.075e+01,7.501e+00,2.906e-01,2.027e-01
1688349600,1.075e+01,1.000e+00,2.905e-01,2.705e-02
1688350200,2.028e+01,1.150e+01,5.481e-01,3.109e-01
1688350800,8.543e+00,1.000e+00,2.309e-01,2.705e-02
1688351400,1.081e+01,1.000e+00,2.922e-01,2.705e-02
1688352000,2.244e+01,4.001e+00,6.064e-01,1.081e-01
1688352600,1.086e+01,3.501e+00,2.936e-01,9.461e-02
1688353200,1.534e+01,6.001e+00,4.146e-01,1.622e-01
1688353800,1.073e+01,2.500e+00,2.901e-01,6.758e-02
1688354400,1.308e+01,1.000e+00,3.536e-01,2.705e-02
1688355000,8.609e+00,7.001e+00,2.327e-01,1.892e-01
1688355600,1.986e+01,1.000e+00,5.368e-01,2.705e-02
1688356200,8.543e+00,6.501e+00,2.309e-01,1.757e-01
1688356800,4.275e+00,1.000e+00,1.155e-01,2.705e-02
1688357400,8.609e+00,7.001e+00,2.327e-01,1.892e-01
1688358000,1.291e+01,1.000e+00,3.489e-01,2.705e-02
1688358600,1.000e+00,6.001e+00,2.705e-02,1.622e-01
1688359200,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688359800,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688360400,8.609e+00,8.001e+00,2.327e-01,2.162e-01
1688361000,4.209e+00,1.000e+00,1.137e-01,2.705e-02
1688361600,7.184e+00,1.000e+00,1.942e-01,2.705e-02
1688362200,4.770e+00,1.000e+00,1.289e-01,2.705e-02
1688362800,1.492e+01,3.000e+00,4.033e-01,8.109e-02
1688363400,6.409e+00,6.001e+00,1.732e-01,1.622e-01
1688364000,1.000e+00,1.000e+00,2.705e-02,2.705e-02
1688364600,2.009e+00,1.000e+00,5.429e-02,2.705e-02
1688365200,6.475e+00,2.500e+00,1.750e-01,6.758e-02
1688365800,1.069e+01,2.000e+00,2.890e-01,2.705e-02
1688366400,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688367000,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688367600,2.009e+00,4.501e+00,5.429e-02,1.216e-01
1688368200,2.261e+01,4.001e+00,6.110e-01,1.081e-01
1688368800,4.209e+00,1.000e+00,1.138e-01,2.705e-02
1688369400,2.308e+01,3.000e+00,6.239e-01,8.109e-02
1688370000,1.215e+01,2.500e+00,3.282e-01,6.758e-02
1688370600,6.409e+00,6.001e+00,1.732e-01,1.622e-01
1688371200,2.493e+01,1.000e+00,6.737e-01,2.705e-02
1688371800,2.223e+01,4.001e+00,6.009e-01,1.081e-01
1688372400,1.515e+01,7.001e+00,4.095e-01,1.892e-01
1688373000,1.989e+01,1.000e+00,5.376e-01,2.705e-02
1688373600,1.740e+01,1.000e+00,4.702e-01,2.705e-02
1688374200,2.421e+01,9.001e+00,6.542e-01,2.433e-01
1688374800,1.976e+01,2.500e+00,5.341e-01,6.758e-02
1688375400,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688376000,1.500e+01,5.501e+00,4.055e-01,1.487e-01
1688376600,1.520e+01,3.000e+00,4.108e-01,8.109e-02
1688377200,1.520e+01,5.001e+00,4.108e-01,1.352e-01
1688377800,1.500e+01,3.501e+00,4.054e-01,9.461e-02
1688378400,1.733e+01,1.250e+01,4.685e-01,3.379e-01
1688379000,1.085e+01,1.000e+00,2.934e-01,2.705e-02
1688379600,1.303e+01,1.548e+01,3.522e-01,4.183e-01
1688380200,1.723e+01,7.501e+00,4.656e-01,2.027e-01
1688380800,1.305e+01,1.000e+00,3.526e-01,2.705e-02
1688381400,1.299e+01,9.501e+00,3.510e-01,2.568e-01
1688382000,1.523e+01,1.000e+00,4.116e-01,2.705e-02
1688382600,1.981e+01,1.250e+01,5.355e-01,3.379e-01
1688383200,1.072e+01,6.501e+00,2.899e-01,1.757e-01
1688383800,3.080e+01,6.001e+00,8.325e-01,1.622e-01
1688384400,1.085e+01,6.001e+00,2.931e-01,1.622e-01
1688385000,8.609e+00,6.501e+00,2.327e-01,1.757e-01
1688385600,2.466e+01,5.501e+00,6.665e-01,1.487e-01
1688386200,4.179e+01,1.100e+01,1.130e+00,2.973e-01
1688386800,2.885e+01,1.100e+01,7.797e-01,2.973e-01
1688387400,4.416e+01,8.501e+00,1.194e+00,2.298e-01
1688388000,3.497e+01,1.500e+01,9.452e-01,4.055e-01
1688388600,2.598e+01,4.501e+00,7.021e-01,1.216e-01
1688389200,6.570e+01,7.501e+00,1.776e+00,2.027e-01
1688389800,2.118e+01,2.700e+01,5.724e-01,7.298e-01
1688390400,2.133e+01,1.250e+01,5.765e-01,3.379e-01
1688391000,2.599e+01,1.450e+01,7.023e-01,3.919e-01
1688391600,2.369e+01,1.000e+00,6.402e-01,2.705e-02
1688392200,6.409e+00,1.650e+01,1.732e-01,4.460e-01
1688392800,1.282e+01,1.000e+00,3.465e-01,2.705e-02
1688393400,1.948e+01,1.000e+00,5.264e-01,2.705e-02
1688394000,1.077e+01,1.000e+01,2.910e-01,2.703e-01
1688394600,1.293e+01,1.000e+01,3.495e-01,2.703e-01
1688395200,1.083e+01,9.485e+00,2.926e-01,2.564e-01
1688395800,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688396400,2.194e+01,1.350e+01,5.929e-01,3.649e-01
1688397000,1.722e+01,1.000e+00,4.654e-01,2.705e-02
1688397600,1.524e+01,1.050e+01,4.120e-01,2.838e-01
1688398200,1.695e+01,2.200e+01,4.582e-01,5.947e-01
1688398800,2.009e+00,1.000e+00,5.429e-02,2.705e-02
1688399400,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688400000,1.528e+01,3.000e+00,4.130e-01,8.109e-02
1688400600,1.741e+01,1.300e+01,4.704e-01,3.514e-01
1688401200,2.467e+01,6.501e+00,6.669e-01,1.757e-01
1688401800,1.745e+01,1.000e+00,4.715e-01,2.705e-02
1688402400,1.968e+01,8.001e+00,5.320e-01,2.162e-01
1688403000,8.609e+00,2.000e+00,2.327e-01,2.705e-02
1688403600,8.609e+00,1.300e+01,2.327e-01,3.514e-01
1688404200,1.518e+01,2.000e+00,4.102e-01,2.705e-02
1688404800,1.293e+01,1.250e+01,3.494e-01,3.379e-01
1688405400,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688406000,4.011e+00,9.501e+00,1.084e-01,2.568e-01
1688406600,1.081e+01,1.000e+00,2.922e-01,2.705e-02
1688407200,6.475e+00,4.501e+00,1.750e-01,1.216e-01
1688407800,1.993e+01,2.500e+00,5.385e-01,6.758e-02
1688408400,1.061e+01,2.000e+00,2.866e-01,2.705e-02
1688409000,8.675e+00,3.501e+00,2.345e-01,9.461e-02
1688409600,1.081e+01,5.001e+00,2.921e-01,1.352e-01
1688410200,1.310e+01,3.501e+00,3.541e-01,9.461e-02
1688410800,6.201e+00,6.490e+00,1.676e-01,1.754e-01
1688411400,1.298e+01,3.000e+00,3.508e-01,8.109e-02
1688412000,1.761e+01,1.000e+00,4.759e-01,2.705e-02
1688412600,1.534e+01,5.501e+00,4.145e-01,1.487e-01
1688413200,1.080e+01,6.501e+00,2.919e-01,1.757e-01
1688413800,2.009e+00,5.001e+00,5.428e-02,1.352e-01
1688414400,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688415000,6.409e+00,7.501e+00,1.732e-01,2.027e-01
1688415600,8.609e+00,2.500e+00,2.327e-01,6.758e-02
1688416200,2.075e+00,6.001e+00,5.607e-02,1.622e-01
1688416800,1.780e+01,1.000e+00,4.810e-01,2.705e-02
1688417400,1.000e+00,3.000e+00,2.705e-02,8.109e-02
1688418000,8.675e+00,5.001e+00,2.345e-01,1.352e-01
1688418600,4.275e+00,3.501e+00,1.155e-01,9.461e-02
1688419200,6.409e+00,7.001e+00,1.732e-01,1.892e-01
1688419800,6.277e+00,1.000e+00,1.696e-01,2.705e-02
1688420400,1.532e+01,4.001e+00,4.142e-01,1.081e-01
1688421000,6.343e+00,4.001e+00,1.714e-01,1.081e-01
1688421600,4.275e+00,4.001e+00,1.155e-01,1.081e-01
